Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
BIOINGENIERIA,SENIOR,2205000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Pediatra,Muy buena,Bien,Sí,Sí,10,"En general me ha gustado mucho todo, sobre todo las prácticas que hemos hecho y mis compañeros y profesores.",No tengo ninguna queja de este curso. Me he divertido mucho.,"No, todo estaba muy bien organizado y distribuido. Además aprendes un montón al mismo tiempo que te diviertes y haces amigos.",5,5,5,1,1,5,5,4,5,1,5,4,5,5,2,3,5,5,1,2,5,"2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2205000,Chico,Bien,8,8,No asistí,No asistí,Muy buena,Muy bien,No,No lo sé pero a Ciencias no.,Buena,Muy bien,Sí,Sí,8,El Stopmotion,Que un día me dolió la cabeza de tanto ordenador.,En poner más material para hacer las actividades.,3,1,5,1,5,4,1,4,4,5,4,2,1,3,3,1,4,5,5,1,5,"2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Peor
EDICION DE FOTO Y VIDEO,SENIOR,2205000,Chico,Muy bien,10,1,No asistí,No asistí,Buena,Muy bien,Sí,Ingeniero,Muy buena,Bien,Sí,Sí,10,La libertad al editar,La letra de Gabriela,Cambiar los portátiles con los teclados en Alemán,5,5,5,2,1,4,5,4,5,1,5,4,4,4,2,5,4,5,1,3,4,"2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,2205000,Chico,Bien,10,1,Buena,No asistí,Muy buena,Muy bien,Sí,Ingeniero / Astrofisico,Muy buena,Bien,Sí,Sí,10,"Las clases se pasan muy rapido, lo que hace que sea muy llevadero",Que no hayamos hecho mas proyectos,"Nada, todo esta bien",5,5,5,1,1,4,5,4,5,1,5,5,5,5,3,5,4,5,1,5,5,"2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
ENERGIAS RENOVABLES,JUNIOR,2206000,Chico,Bien,10,10,Buena,Muy buena,Buena,Bien,No sé,No sé,Buena,Bien,Sí,No,9,Shell shockers,NADA,Seguid así. Adoro este curso.,4,4,4,3,3,3,4,3,5,2,4,5,3,3,4,3,3,4,2,5,3,2017,Yo,11,Buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,2206000,Chico,Muy bien,10,7,Muy buena,No asistí,Muy buena,Muy bien,Sí,Quiero ser ingeniero industrial,Muy buena,Bien,Sí,Sí,10,Los experimentos,Las mascarillas,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,5,5,2017,Yo,11,Buena,No sé,Mejor
MINECRAFT,JUNIOR,2206000,Chico,Regular,10,10,No asistí,No asistí,Buena,Muy bien,No sé,Ni idea,Buena,Bien,Sí,Sí,10,"Construcción de banco, hospital y comisaría",Nada,"No es necesario, seguid así.",4,3,4,3,2,3,4,3,5,2,3,5,3,3,3,4,4,4,2,5,4,2017,Yo,11,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,2206000,Chico,Regular,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,No sé,Buena,Bien,Sí,Sí,10,Todo,Nada,"Sois muy buenos, seguid así. Aunque no estaría mal 5 minutos más al Shell Shockers.",5,3,4,3,4,3,5,5,4,3,5,5,3,4,5,3,4,4,2,5,3,2017,Yo,11,Buena,No sé,Igual
DISEÑO 3D,SENIOR,2206668,Chico,Muy bien,8,8,Muy buena,No asistí,,Muy bien,Sí,no lo sé,Buena,Bien,Sí,Sí,8,diseñar en 3d,tinkercad,algunos lpices 3d,4,4,4,1,2,4,4,4,4,4,3,4,4,4,2,4,4,4,1,2,1,No,Yo,16,Buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,2207000,Chico,Bien,4,10,Muy buena,No asistí,Muy buena,Muy bien,No,no se,Buena,Muy bien,No,No,7,patio,las presentaciones,las actividades,3,3,3,2,5,1,3,3,4,4,4,4,4,3,3,2,1,5,4,3,2,2019,Yo,11,Buena,No sé,Igual
DRONES,SENIOR,2207915,Chico,Bien,9,9,Muy buena,No asistí,,Muy bien,Sí,Ingeniería Industrial,Muy buena,Muy bien,Sí,Sí,10,La construcción de drones,La teoría,La revisión de los ordenadores,5,5,3,1,1,3,5,4,5,3,4,5,5,4,4,3,4,4,1,4,4,No,Mis padres,13,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,2208000,Chico,Regular,8,9,No asistí,No asistí,Mala,Bien,No sé,Ya lo he dicho abajo,Me da igual,Muy bien,Sí,Sí,8,Casi todo,TENER QUE JUGAR EN UNA VERSIÓN ANTIGUA,Nada,1,3,5,3,5,1,5,3,1,5,5,3,1,3,5,1,3,3,5,5,3,No,Mis padres,9,Me da igual,No sé,Igual
DISEÑO 3D,JUNIOR,2209000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Ingeniería o historia.,Muy buena,Muy bien,Sí,Sí,10,El aprendizaje y los profesores.,La plataforma Solidedge.,Nada.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,3,5,5,1,1,5,2019,"Yo, Mis padres",11,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,2209000,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,A una carrera de ciencias,Muy buena,Muy bien,Sí,Sí,10,Lo que he aprendido,Todo me ha gustado,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,4,5,5,1,1,5,2019,"Yo, Mis padres",11,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,2210491,Chica,Muy bien,7,10,Mala,No asistí,,Muy bien,Sí,No se igual medicina pero ingeniería no,Me da igual,Bien,Sí,No,8,Los debates,No era lo que me esperaba creía que iba a ser más orientado a la carrera y a las salidas profesionales me ha parecido simplemente un campamento de biología,Especificar y profundizar más en lo que es la carrera,5,5,5,2,2,5,5,4,4,3,5,4,4,4,5,3,4,4,2,3,5,No,Mis padres,16,Me da igual,No sé,Igual
EMPRENDE ICADE,SENIOR,2211155,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,No se,Buena,Bien,Sí,Sí,10,Lo que he aprendido,LA hora  ala que empieza,La hora de entrada,3,2,5,2,4,3,1,4,4,5,5,2,2,4,2,2,3,5,2,2,5,No,Yo,15,Buena,No sé,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2211155,Chico,Regular,10,10,Muy buena,Buena,Buena,Muy bien,No sé,no se,Buena,Bien,Sí,Sí,8,El material,La hora a la que empieza,La hora a la que empieza el curso,2,2,5,3,4,2,2,4,3,5,5,2,2,4,2,2,5,5,1,2,4,No,Yo,15,Buena,No sé,Igual
DRONES,SENIOR,2211745,Chico,Bien,9,9,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniería Industrial o Ingeniería de Telecomunicaciones,Muy buena,Muy bien,Sí,Sí,10,El resultado final de la programación,"Los simbolos que son necesarios y que a veces, cuesta encontrarlos.","No, me ha encantado!!!!!",5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,5,5,1,1,5,"2019, 2020 (online)","Yo, Mis padres",15,Muy buena,Sí,Igual
SMART CITY,SENIOR,2211745,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniero de Telecomunicaciones o Ingeniero Industrial,Muy buena,Muy bien,Sí,Sí,10,El resultado fianl de todos los elementos de la Smart City en funcionamiento.,"A veces, el resultado no sale a la primera.",Nada.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5,"2019, 2020 (online)","Yo, Mis padres",15,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2212121,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Bien,No sé,No se,Me da igual,Muy bien,Sí,Sí,10,Los profesores,La hora de llegada,Nada,4,3,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,No,Yo,16,Me da igual,No,Igual
CIENCIA EN LA COCINA,JUNIOR,2301000,Chica,Bien,10,10,Mala,Mala,Mala,Muy bien,No sé,artisa o escritora o actriz,Buena,Muy bien,Sí,Sí,10,las explicaciones y el aprendizaje y los compañeros,esperar por las mañanas,nada,4,4,5,1,3,4,3,3,5,3,5,5,4,4,4,3,4,4,1,4,5,No,Mis padres,10,Buena,No sé,Igual
MINECRAFT,JUNIOR,2301000,Chico,Bien,7,8,No asistí,No asistí,Buena,Muy bien,Sí,matematico,Buena,Muy bien,Sí,Sí,8,minecraft con amigos,nada,conocimientos mas especificos de minecraft,4,4,5,1,2,3,3,5,4,2,5,5,4,5,2,4,5,5,1,3,5,No,Mis padres,10,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,2303809,Chico,Bien,8,1,No asistí,No asistí,Buena,Muy bien,No sé,inforrmatica,Buena,Muy bien,Sí,Sí,9,La musica que escogemos B),La letra de Gabriela,el espacio de los discos,4,5,5,2,1,2,4,5,4,3,5,2,3,3,4,3,4,4,2,5,3,No,Yo,13,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,2308128,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,Ingeniero Aeroespacial,Muy buena,Muy bien,Sí,Sí,10,Las actividades practicas,.,.,5,5,4,1,1,2,5,3,5,1,3,5,5,3,3,4,4,3,1,3,3,No,Yo,13,Muy buena,Sí,Igual
AUTOMATIZACION,SENIOR,2308161,Chica,Muy bien,10,1,Buena,Buena,Buena,Muy bien,Sí,Ingeniería industrial,Muy buena,Muy bien,Sí,Sí,7,el Laser tag,no hay nada que no me haya gustado,nada,5,5,4,1,1,4,5,5,5,3,5,5,5,5,2,5,4,4,1,1,5,2019,Mis padres,13,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,2309302,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Ingeniería industrial o de las energías,Muy buena,Muy bien,Sí,Sí,10,La ayuda que nos ha proporcionado la señorita Pía.,No haber podido ir a ver los laboratorios de electrónica.,Nada,5,5,5,1,1,5,5,4,5,2,5,5,5,5,3,5,5,5,1,1,5,No,Yo,16,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,2309302,Chica,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,INGENIERA,Muy buena,Muy bien,Sí,Sí,10,todo lo que he aprendido y han hecho que las clases sean interesantes.,No poder haber hecho mas cosas practicas.,creo que deberían darnos mejores materiales,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,5,5,1,2,5,No,Yo,16,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,2310590,Chica,Bien,7,10,Muy buena,No asistí,Buena,Muy bien,Sí,Ser neurocirujana,Buena,Muy bien,Sí,Sí,8,La realización de prácticas,Que hay demasiada teoría,Menos teoría,5,5,4,1,2,4,5,3,4,1,4,4,5,4,2,4,5,4,1,2,4,2016,Yo,14,Buena,Sí,Igual
PROGRAMACION WEB,SENIOR,2311467,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,ingeniero industrial o juez,Buena,Regular,Sí,Sí,10,el profesor,que no hay campo de futbol,poner un campo de futbol y que ramiro haga 2 charlas diarias,5,3,4,4,3,3,3,4,4,2,5,2,3,5,1,2,4,2,3,4,2,No,"Yo, Mis padres",13,Buena,Sí,Igual
CIENCIA EN LA COCINA,SENIOR,2312587,Chica,Muy bien,10,10,Buena,Buena,Muy buena,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,10,"Las personas, los profesores y las actividades realizadas.",Levantarse pronto,Nada,4,4,5,1,4,5,4,4,5,4,5,4,3,4,3,3,2,5,1,1,5,"2019, 2020 (online)",Yo,12,Buena,No sé,Igual
BIOINGENIERIA,SENIOR,2312599,Chica,Bien,8,10,Regular,No asistí,,Muy bien,No sé,No lo sé,Me da igual,Bien,No,No,8,El trato de todos los profesores y los de apoyo,"Pensaba que era un curso en que se explicaba que es la carrera, salidas etc. Entonces no ha sido lo que esperaba",Especificar más que se hace en este curso en la página on-line,4,4,5,1,3,3,3,4,4,3,5,5,4,4,4,3,2,4,2,4,5,No,Mis padres,16,Me da igual,No sé,Igual
INGENIERIA MECANICA,JUNIOR,2403000,Chico,Bien,9,9,Muy buena,No asistí,Muy buena,Regular,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,9,Las actividades,hacemos pocas actividades,añadir mas actividades para que no nos aburramos,4,4,3,2,2,4,5,4,4,3,3,4,4,5,3,2,5,4,1,2,4,No,Mis padres,12,Buena,No sé,Mejor
INGENIERIA MECANICA,JUNIOR,2403000,Chico,Regular,1,10,Mala,No asistí,Buena,Muy bien,No sé,Ni idea,Buena,Muy bien,No,No,5,hacer el ventilador solar,las explicaciones sobre las cosas (eran muy aburridas),mas experimentos,2,3,5,2,4,1,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,No,Mis padres,12,Buena,No sé,Igual
DRONES,SENIOR,2403282,Chico,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,Ingeniero,Muy buena,Muy bien,Sí,Sí,10,La teoría llevadera,"Nada, ta perfect","Nada, ta perfect",5,5,5,1,1,4,4,5,4,2,4,5,5,1,3,4,3,5,2,3,4,No,"Yo, Mis padres",14,Buena,Sí,Mejor
INGENIERIA ELECTRONICA,SENIOR,2403282,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,lo estoy pensando,Muy buena,Bien,Sí,Sí,10,kahoot,que sea solo una semana,"nada, ta`perfecto",4,5,5,1,1,2,4,5,5,2,5,5,4,4,4,4,4,4,1,4,4,No,"Yo, Mis padres",14,Buena,Sí,Mejor
INTELIGENCIA ARTIFICIAL,SENIOR,2403768,Chico,Bien,10,10,Muy buena,Buena,Muy buena,Muy bien,No sé,nose,Buena,Muy bien,Sí,Sí,10,la teoria me ha gustado,nada,,4,5,5,1,1,3,5,4,4,1,4,5,5,5,1,5,4,4,1,1,5,2019,"Yo, Mis padres",15,Muy buena,Sí,Peor
BIOINGENIERIA,SENIOR,2404298,Chico,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,Bioingeniería o algo relacionado con software,Muy buena,Muy bien,Sí,Sí,10,Las prácticas,Nada,Nada. Me ha gustado mucho todo,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,4,5,3,1,1,5,No,Yo,15,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,2404298,Chico,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,ciberseguridad,Muy buena,Muy bien,Sí,Sí,10,Todo,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,Yo,15,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2404467,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Astrofísica,Muy buena,Muy bien,Sí,Sí,10,La exposición final.,Algunas partes se han hecho algo pesadas.,Utilizar más los ordenadores.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,5,5,1,3,5,2018,"Yo, Mis padres",14,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2404467,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Astrofísica,Muy buena,Muy bien,Sí,Sí,10,La exposición final.,Apenas hemos utilizado ordenadores.,Utilizar más los ordenadores.,5,5,5,1,5,5,5,4,5,1,5,5,5,5,3,5,5,5,1,3,5,2018,"Yo, Mis padres",14,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2404467,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Astrofísica,Muy buena,Muy bien,Sí,Sí,10,Lo que he aprendido,Los primeros ejercicios (demasiado fáciles),Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,2,5,5,5,1,3,5,2018,"Yo, Mis padres",14,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,2405155,Chico,Muy bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,Policia (relacionado con la ingenieria),Muy buena,Bien,Sí,Sí,10,Cuando conducimos los coches eléctricos y la explicación de los motores diesel y gasolina,La parte de la aerodinámica de los f1 (pero también me gusto),,5,5,5,1,1,4,5,4,5,1,5,5,5,5,2,3,5,5,1,3,5,No,Yo,16,Muy buena,Sí,Igual
DRONES,SENIOR,2405749,Chico,Muy bien,9,10,Buena,Muy buena,Muy buena,Regular,Sí,pues no se,Muy buena,Bien,Sí,Sí,9,arduino teoria programacion,"no iba el globo, la hora de entrada...",la hora de entrada y algun material,5,5,5,4,3,5,4,4,5,1,5,5,4,5,2,5,3,5,1,2,5,"2016, 2017, 2018, 2019","Yo, Mis amigos",16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,2405749,Chico,Muy bien,8,6,Muy buena,Buena,Buena,Bien,Sí,No se,Muy buena,Bien,Sí,Sí,6,Python y algunas presentaciones y aprendizajes,"Scratch, lo repetitivo, los compañeros, el ambiente... esperaba un poco más","ordenadores rotos, la hora de entrada, profesoras a veces pasaban.",5,5,5,2,3,5,4,4,5,5,5,5,4,5,2,4,3,5,1,1,5,"2016, 2017, 2018, 2019","Yo, Mis amigos",16,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,2406134,Chico,Bien,10,10,Muy buena,Muy buena,Regular,Bien,Sí,A las Matematicas,Buena,Muy bien,Sí,Sí,10,la relación con los profesores,un poco avanzado,-,5,5,5,2,2,4,4,5,5,2,5,5,5,5,3,4,4,4,1,4,3,No,Yo,17,Buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,2408656,Chica,Muy bien,10,10,Muy buena,Muy buena,Buena,Bien,Sí,AI,Muy buena,Muy bien,Sí,Sí,10,el CTF,nada,,5,5,5,3,1,5,5,4,5,1,5,5,5,5,4,5,4,4,1,4,5,"2016, 2017, 2018, 2019, 2020 (online)","Yo, Mis padres",16,Buena,Sí,Mejor
AUTOMATIZACION,SENIOR,2409000,Chico,Bien,10,1,Muy buena,Buena,Buena,Bien,Sí,No sé,Buena,Bien,Sí,Sí,10,Todo,Nada,Nada,4,4,3,3,3,4,4,3,3,3,4,3,5,4,3,3,2,3,1,3,3,No,Yo,12,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,2409336,Chico,Bien,9,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,No lo sé,Buena,Muy bien,Sí,Sí,9,Los profesores y las charlas,Las escaleras y las preguntas repetitivas en este formulario,Las preguntas repetitivas en este cuestionario,4,4,3,1,2,3,3,5,4,3,5,4,4,4,1,3,3,5,1,1,3,No,"Yo, Mis padres, Mis amigos",14,Me da igual,Sí,Mejor
DISEÑO 3D,SENIOR,2410178,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,mecánico,Buena,Muy bien,Sí,No,10,El profe,Nada malo,,4,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,5,4,1,1,2,"2018, 2020 (online)","Yo, Mis padres",17,Me da igual,Sí,Mejor
INGENIERIA MECANICA,SENIOR,2410178,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,ingeniero mecánico,Muy buena,Muy bien,Sí,Sí,10,explicaciones,nada,,5,5,5,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,1,2,4,"2018, 2020 (online)","Yo, Mis padres",17,Me da igual,Sí,Mucho mejor
CIENCIA EN LA COCINA,JUNIOR,2501000,Chica,Bien,10,10,No asistí,No asistí,Regular,Bien,No sé,No  sé,Me da igual,Bien,Sí,Sí,10,la comida,no sé,nada,3,3,4,3,4,2,3,2,3,4,5,3,2,3,2,3,4,4,1,3,3,No,Mis padres,10,Me da igual,No sé,Igual
ENERGIAS RENOVABLES,JUNIOR,2501000,Chico,Muy bien,8,7,Muy buena,No asistí,Buena,Muy bien,No sé,no se,Buena,Muy bien,Sí,Sí,9,ls proyectos,el patio,la organizacion del horario,4,3,3,1,3,4,3,5,4,3,3,4,3,5,1,3,4,4,1,1,4,No,Mis padres,10,Me da igual,No sé,Mejor
DISEÑO 3D,JUNIOR,2501987,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,No se,Muy buena,Muy bien,Sí,Sí,10,Poder diseñar tus propias cosas en 3D y después poder imprimirlo en las impresoras 3D,No haber podido ir a los laboratorios,Las impresoras fallan mucho,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,3,5,5,1,5,5,No,Yo,13,Muy buena,No sé,Igual
DISEÑO 3D,SENIOR,2502000,Chica,Muy bien,10,9,Muy buena,No asistí,Buena,Muy bien,Sí,alguna carrera de ciencias,Buena,Muy bien,Sí,Sí,9,laboratorios y los bolis 3d,Despertarme pronto,poner más días de diseño libre,4,5,5,2,1,4,5,4,4,2,5,4,4,4,4,4,4,5,2,2,5,No,Yo,14,Buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,2502000,Chico,Muy bien,10,1,No asistí,No asistí,Regular,Muy bien,Sí,A alguna carrera de ciencias,Muy buena,Muy bien,Sí,Sí,10,Editar fotos,Nada,Me gustaría entrar media hora más tarde,5,5,4,1,1,4,5,5,5,1,5,5,5,5,5,5,5,4,1,5,4,No,Yo,14,Buena,Sí,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,2502000,Chico,Muy bien,10,1,No asistí,No asistí,Regular,Muy bien,Sí,A alguna carrera de ciencias,Muy buena,Muy bien,Sí,Sí,10,Editar fotos,Nada,Nada,5,5,3,1,1,4,5,5,5,1,5,5,5,5,4,5,5,5,1,5,4,No,Yo,14,Buena,Sí,Mejor
EDICION DE FOTO Y VIDEO,SENIOR,2502000,Chica,Bien,10,9,Muy buena,No asistí,Buena,Muy bien,Sí,no sé,Buena,Muy bien,Sí,Sí,9,La edición de fotos,El no tener tantos días de video,Más días de edición de video,4,5,5,1,1,3,4,4,4,2,5,4,4,4,4,5,4,4,1,2,5,No,Yo,14,Buena,Sí,Igual
ROBOTICA,JUNIOR,2502000,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Bien,Sí,A ingeniero industrial,Muy buena,Muy bien,Sí,Sí,10,La carrera porque la ganamos,Que no habían todas las piezas,No,5,5,5,1,1,5,4,5,5,1,5,5,5,5,1,4,3,5,1,1,5,No,Yo,14,Buena,Sí,Mejor
CIBERSEGURIDAD,SENIOR,2502741,Chico,Muy bien,9,10,Muy buena,Muy buena,Mala,Bien,Sí,Informática,Muy buena,Bien,Sí,Sí,9,Las prácticas,Demasiada teoria,Poner menos teoria y mas práctica,5,5,5,1,1,4,5,4,4,5,4,5,5,4,1,2,2,3,1,4,4,2019,Yo,17,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2502741,Chico,Muy bien,9,9,No asistí,No asistí,Buena,Bien,Sí,Informático,Buena,Bien,Sí,Sí,9,Los profesores,Poca tecnología,Añadir más tecnología,5,5,3,1,1,4,5,5,3,5,5,5,5,4,4,5,2,4,1,1,4,2019,Yo,17,Muy buena,Sí,Peor
EMPRENDE ICADE,SENIOR,2504867,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Diseño con emprendimiento,Muy buena,Bien,Sí,Sí,10,"Los compañeros de clase que me han tocado, la actividad del everest, LA COMIDA, y prácticamente todo.",NADA,NADA,4,4,5,2,2,3,2,1,2,3,5,3,2,2,5,2,4,5,3,5,5,"2017, 2018, 2019",Yo,14,Muy buena,No sé,Igual
BIOINGENIERIA,JUNIOR,2505000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,No lo tengo muy claro pero quiero ir por la rama de ciencias.,Buena,Muy bien,Sí,Sí,10,Ver mis células y mi ADN.,No hay nada que no me haya gustado.,"Nada, no se me ocurre nada.",5,4,5,1,2,3,4,4,5,2,5,5,5,5,5,4,4,5,1,5,5,No,Yo,12,Muy buena,Sí,Peor
CIENCIA EN LA COCINA,JUNIOR,2505000,Chica,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Me gustaría dedicarme a una carrera de ciencias.,Buena,Muy bien,Sí,Sí,8,"Todo ha sido genial, he aprendido a hacer pasta fresca, pan, trampantojos y, ¡CAVIAR Y ESFERIFICAIONES!","Pues que nos manchamos un montón, pero así es la cocina, así que, no hay nada malo.","Pues...no se me ocurre nada, está todo genial.",5,4,5,2,2,3,4,4,5,2,5,5,4,5,5,4,5,5,1,3,5,No,Yo,12,Muy buena,Sí,Peor
BIOINGENIERIA,SENIOR,2505253,Chico,Muy bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Biomédicina/física,Buena,Bien,Sí,Sí,9,Manera de explicar,Kahoot con preguntas de series,,5,5,5,1,1,4,5,3,4,1,5,4,5,4,3,5,4,5,1,3,5,2019,Yo,15,Buena,Sí,Igual
EMPRENDE ICADE,SENIOR,2505253,Chico,Bien,10,9,No asistí,No asistí,Buena,Muy bien,Sí,biotecnologia/biomedicina/fisica,Buena,Bien,Sí,Sí,9,La manera de enseñar,No creo poder decir algo malo,,5,5,5,1,1,4,5,3,4,1,5,3,5,4,3,5,4,5,1,3,5,2019,Yo,15,Buena,Sí,Igual
MINECRAFT,JUNIOR,2507000,Chico,Muy bien,9,9,No asistí,No asistí,Buena,Muy bien,No,Me gustaría ser piloto de las fuerzas aéreas.,Muy buena,Bien,Sí,Sí,10,Los juegos de pvp que hacíamos.,La charla sobre África.,"Que podamos jugar a otras cosas en el recreo como futbol, baloncesto...",4,3,5,2,4,4,2,4,5,4,5,5,2,4,2,2,5,4,1,4,5,No,Yo,10,Muy buena,No,Igual
INGENIERIA ELECTRONICA,SENIOR,2509049,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No,Arquitectura,Muy buena,Bien,Sí,Sí,10,Los lacasitos,No ganar lacasitos,Más tiempo libre 😎,3,3,3,3,3,2,4,2,5,2,3,3,3,3,3,1,5,3,3,3,5,"2018, 2019","Yo, Mis padres",12,Me da igual,Sí,Mucho mejor
INGENIERIA ELECTRONICA,SENIOR,2512371,Chico,Bien,8,3,Buena,No asistí,Buena,Muy bien,No sé,a algo q revolucione el mundo,Muy buena,Bien,Sí,Sí,9,las patatas de marcos,el covid,los recreos,4,4,5,1,3,1,3,3,3,3,5,3,3,2,4,3,3,3,2,2,5,"2017, 2018, 2019",Yo,13,Buena,Sí,Mejor
INGENIERIA MECANICA,SENIOR,2512371,Chico,Regular,8,9,Muy buena,No asistí,Muy buena,Muy bien,Sí,a cambiar el mundo,Buena,Bien,Sí,Sí,9,elos kahoot,el horario,el horario,3,4,5,3,3,2,3,4,2,3,5,3,3,2,3,3,3,5,2,3,4,"2017, 2018, 2019",Yo,13,Buena,Sí,Igual
